Latitude,Longitude,Nama_Unit,Kode_Unit,Alamat,Dokter_Spesialis,Dokter_Umum,Dokter_Gigi,Perawat,Bidan,Farmasi,Nakes_Lainnya,Tenaga_Pendukung,Provinsi
2.544004,97.83519,LONGKIB,P1175050201,"Jl. Darul  Aman, Kec. Longkip",0,0,0,20,16,2,4,40,ACEH
2.661822,97.843056,RUNDING,P1175030201,"Jl. Runding, Kec. Rundeng",0,1,0,21,39,4,9,46,ACEH
2.61824,98.026855,PENANGGALAN,P1175020101,"Jl. T. Umar No.196, Kec. Penanggalan",0,4,2,36,33,8,11,55,ACEH
2.645471,98.01384,SIMPANG KIRI,P1175010201,"Jl. Hamzah Fansyuri, Kec. Simpang Kiri",0,2,1,37,43,5,13,51,ACEH
4.846047,97.851158,MON GEUDONG,P1174030202,"Jl. Pase Lr. 2  Ds. Mon Geudong, Kec. Banda Sakti",0,2,2,42,29,10,8,5,ACEH
5.199146,97.124245,BANDA SAKTI,P1174030201,"Jl. Teratai Putih Ds. Banda Sakti, Kec. Banda Sakti",0,7,2,36,36,12,42,6,ACEH
5.195703,97.077057,MUARA SATU,P1174021201,Jl. Medan-Banda Aceh Blang Pulo Kec. Muara Satu,0,2,1,20,11,2,16,11,ACEH
5.137589,97.162086,BLANG CUT,P1174010202,"Jl. Mesjid Meraksa Ds. Blang Cut, Kec. Blang Mangat",0,2,0,20,12,4,15,1,ACEH
5.102941,97.139198,BLANG MANGAT,P1174010201,"Jl Panglima Adid No. 1 Ds. Blang Mangat, Kec. Blang Mangat",0,2,0,3,11,2,13,1,ACEH
4.493973,97.991226,UPT LANGSA KOTA,P1173030101,"Jl. H.Agus Salim No.10 Ds. Sungai Pauh, Kec. Langsa Kota",0,8,2,63,64,14,23,6,ACEH
4.475726,97.950233,UPT LANGSA BARO,P1173021201,"Jl. Lilawangsa No.1 Ds. Paya Bujok Tunong, Kec. Langsa Baro",0,8,2,40,43,12,25,10,ACEH
4.521869,97.970825,UPT PUSKESMAS SEURIGET,P1173020201,"Jl. Prof. Masjid Ibrahim Ds. Birem Puntung, Kec. Langsa Barat",0,4,1,34,39,4,16,2,ACEH
4.448046,97.973541,UPT LANGSA LAMA,P1173011201,"Jl. Kampus UNSAM Ds. Meurandeh Dayah, Kec. Langsa Lama",0,4,1,36,30,12,20,4,ACEH
4.455607,98.01754,UPT LANGSA TIMUR,P1173010101,"Jl. Langsa - Medan Ds. Sukarejo, Kec. Langsa Timur",0,5,1,51,46,8,22,10,ACEH
5.829912,95.294609,PRIA LAOT,P1172020203,"Jl. Ibioh Kel. Batee Shok, Kec. Sukakarya",0,1,1,10,3,2,7,3,ACEH
5.874808,95.240395,IBOIH,P1172020102,"Jl. Gapang Ibioh, Kec. Sukakarya",0,1,0,10,8,2,8,6,ACEH
5.845792,95.315071,SUKAKARYA,P1172020101,"Jl. Sabang-Iboih Paya Seunara, Kec. Sukakarya",0,2,1,29,16,4,11,9,ACEH
5.876219,95.336433,COT BA\'U,P1172010203,"Jl. Bay Pass Kel. Cot Ba'u, Kec. Sukajaya",0,2,1,15,6,4,9,3,ACEH
5.804599,95.330887,JABOI,P1172010102,"Jl. Jaboi, Kel. Jaboi, Kec. Sukajaya",0,1,0,26,8,2,8,6,ACEH
5.512106,95.846298,SUKAJAYA,P1172010101,"Jl. Sabang Balohan, Kec. Sukajaya",0,3,1,36,10,4,15,5,ACEH
5.548089,95.357582,ULEE KARENG,P1171041201,"Jl. Jurong Dagang Ds. Ceurih, Kec. Ulee Kareng",0,3,1,12,27,6,16,2,ACEH
5.577014,95.344666,JEULINGKE,P1171040202,"Jl. Batee Timoh Jeulingke, Kec. Syiah Kuala",0,4,0,8,18,2,8,1,ACEH
5.571891,95.3685,KOPELMA DARUSSALAM,P1171040201,"Jl. Inong Balee No.38 Kopelma Darussalam, Kec. Syiah Kuala",0,2,1,14,13,0,19,2,ACEH
5.557292,95.310661,LAMPASEH KOTA,P1171031201,"Jl.  Rama Setia Lr. Syahmidin Lampaseh Kota, Kec. Kuta Raja",0,3,1,8,21,4,11,2,ACEH
5.579108,95.322571,LAMPULO,P1171030202,"Jl. Buah Delima Komplek Perikanan Lampulo, Kec. Kuta Alam",0,3,1,2,11,2,7,1,ACEH
